Timestamp,Alert Type
2026-05-12 23:03:46,DISTRACTED
2026-05-12 23:03:53,DISTRACTED
2026-05-12 23:04:03,DISTRACTED
2026-05-12 23:04:07,DISTRACTED
2026-05-12 23:04:19,DISTRACTED
2026-05-12 23:04:21,DROWSY
2026-05-12 23:04:37,DISTRACTED
2026-05-12 23:04:44,DISTRACTED
2026-05-12 23:04:47,DISTRACTED
2026-05-12 23:04:51,DISTRACTED
2026-05-12 23:05:00,DISTRACTED
2026-05-12 23:05:07,DISTRACTED
2026-05-12 23:05:12,DISTRACTED
2026-05-12 23:05:18,DROWSY
2026-05-12 23:05:21,DROWSY
2026-05-12 23:05:28,DISTRACTED
2026-05-12 23:05:36,DISTRACTED
2026-05-12 23:05:47,DROWSY
2026-05-12 23:05:47,DISTRACTED
2026-05-12 23:06:00,DISTRACTED
2026-05-12 23:06:06,DISTRACTED
2026-05-12 23:06:15,DROWSY
2026-05-12 23:06:27,DISTRACTED
2026-05-12 23:06:35,DISTRACTED
2026-05-12 23:06:46,DISTRACTED
2026-05-12 23:06:55,DISTRACTED
2026-05-12 23:07:06,DISTRACTED
2026-05-12 23:07:11,DISTRACTED
2026-05-12 23:07:22,DISTRACTED
2026-05-12 23:07:29,DISTRACTED
2026-05-12 23:07:33,DISTRACTED
2026-05-12 23:07:44,YAWNING
2026-05-12 23:07:48,DISTRACTED
2026-05-12 23:07:50,DISTRACTED
2026-05-12 23:08:04,DISTRACTED
